Date,AAPL,MSFT
2003-11-18,0.36446401476860046,25.149999618530273
2003-11-19,0.36464300751686096,25.350000381469727
2003-11-20,0.36392900347709656,25.100000381469727
2003-11-21,0.36214300990104675,25.110000610351562
2003-11-24,0.3776789903640747,25.729999542236328
2003-11-25,0.3692860007286072,25.399999618530273
2003-11-26,0.3700000047683716,25.450000762939453
2003-11-28,0.3733929991722107,25.709999084472656
2003-12-01,0.38767901062965393,25.84000015258789
2003-12-02,0.38464298844337463,25.65999984741211
2003-12-03,0.3755359947681427,25.670000076293945
2003-12-04,0.3776789903640747,26.200000762939453
2003-12-05,0.3723210096359253,25.979999542236328
2003-12-08,0.3758929967880249,26.239999771118164
2003-12-09,0.36517900228500366,26.3799991607666
2003-12-10,0.36392900347709656,26.59000015258789
2003-12-11,0.3787499964237213,26.610000610351562
2003-12-12,0.3730359971523285,26.649999618530273
2003-12-15,0.36017900705337524,26.739999771118164
2003-12-16,0.35928601026535034,27.059999465942383
2003-12-17,0.35499998927116394,27.040000915527344
2003-12-18,0.35785698890686035,27.399999618530273
2003-12-19,0.3517859876155853,27.360000610351562
2003-12-22,0.35446399450302124,27.18000030517578
2003-12-23,0.35374999046325684,27.149999618530273
2003-12-24,0.36446401476860046,27.040000915527344
2003-12-26,0.3710710108280182,27.209999084472656
2003-12-29,0.3776789903640747,27.459999084472656
2003-12-30,0.3799999952316284,27.520000457763672
2003-12-31,0.3816069960594177,27.3700008392334
2004-01-02,0.3799999952316284,27.450000762939453
2004-01-05,0.39589300751686096,28.139999389648438
2004-01-06,0.39446398615837097,28.239999771118164
2004-01-07,0.4033930003643036,28.209999084472656
2004-01-08,0.41714298725128174,28.15999984741211
2004-01-09,0.4107140004634857,27.65999984741211
2004-01-12,0.42375001311302185,27.56999969482422
2004-01-13,0.4307140111923218,27.43000030517578
2004-01-14,0.4321430027484894,27.700000762939453
2004-01-15,0.4080359935760498,27.540000915527344
2004-01-16,0.4057140052318573,27.809999465942383
2004-01-20,0.4058929979801178,28.100000381469727
2004-01-21,0.4037500023841858,28.299999237060547
2004-01-22,0.3960709869861603,28.010000228881836
2004-01-23,0.4028570055961609,28.479999542236328
2004-01-26,0.4108929932117462,28.799999237060547
2004-01-27,0.4119639992713928,28.25
2004-01-28,0.4021430015563965,27.709999084472656
2004-01-29,0.4050000011920929,27.90999984741211
2004-01-30,0.4028570055961609,27.649999618530273
2004-02-02,0.3985710144042969,27.399999618530273
2004-02-03,0.39750000834465027,27.290000915527344
2004-02-04,0.38910698890686035,27.010000228881836
2004-02-05,0.4003570079803467,26.959999084472656
2004-02-06,0.4055359959602356,27.079999923706055
2004-02-09,0.4048210084438324,26.899999618530273
2004-02-10,0.4103569984436035,27.020000457763672
2004-02-11,0.42500001192092896,27.149999618530273
2004-02-12,0.42375001311302185,26.950000762939453
2004-02-13,0.4107140004634857,26.59000015258789
2004-02-17,0.41357100009918213,26.989999771118164
2004-02-18,0.41535699367523193,26.770000457763672
2004-02-19,0.4012500047683716,26.459999084472656
2004-02-20,0.4000000059604645,26.56999969482422
2004-02-23,0.39625000953674316,26.610000610351562
2004-02-24,0.3992860019207001,26.8799991607666
2004-02-25,0.4073210060596466,26.700000762939453
2004-02-26,0.4114289879798889,26.5
2004-02-27,0.42714300751686096,26.530000686645508
2004-03-01,0.42892900109291077,26.700000762939453
2004-03-02,0.42517900466918945,26.389999389648438
2004-03-03,0.42714300751686096,26.3700008392334
2004-03-04,0.44928601384162903,26.3700008392334
2004-03-05,0.47749999165534973,26.350000381469727
2004-03-08,0.4642859995365143,25.829999923706055
2004-03-09,0.48392900824546814,25.719999313354492
2004-03-10,0.4942860007286072,25.3700008392334
2004-03-11,0.48482099175453186,25.09000015258789
2004-03-12,0.49214300513267517,25.3799991607666
2004-03-15,0.4723210036754608,25.15999984741211
2004-03-16,0.4610710144042969,25.18000030517578
2004-03-17,0.4676789939403534,25.1299991607666
2004-03-18,0.45839300751686096,24.889999389648438
2004-03-19,0.4617860019207001,24.6299991607666
2004-03-22,0.4617860019207001,24.5
2004-03-23,0.45160698890686035,24.149999618530273
2004-03-24,0.45535698533058167,24.40999984741211
2004-03-25,0.47982099652290344,25.190000534057617
2004-03-26,0.48285698890686035,25.030000686645508
2004-03-29,0.4983929991722107,25.309999465942383
2004-03-30,0.4985710084438324,25.200000762939453
2004-03-31,0.48285698890686035,24.93000030517578
2004-04-01,0.48410698771476746,25.079999923706055
2004-04-02,0.4910709857940674,25.850000381469727
2004-04-05,0.5057139992713928,25.950000762939453
2004-04-06,0.4969640076160431,25.799999237060547
2004-04-07,0.48767900466918945,25.59000015258789
2004-04-08,0.49160701036453247,25.479999542236328
2004-04-12,0.5007140040397644,25.610000610351562
2004-04-13,0.48089298605918884,25.450000762939453
2004-04-14,0.4757139980792999,25.510000228881836
2004-04-15,0.5232139825820923,25.219999313354492
2004-04-16,0.5210710167884827,25.15999984741211
2004-04-19,0.5062500238418579,25.530000686645508
2004-04-20,0.4951789975166321,25.329999923706055
2004-04-21,0.4951789975166321,25.450000762939453
2004-04-22,0.4960710108280182,25.950000762939453
2004-04-23,0.4946430027484894,27.540000915527344
2004-04-26,0.48446398973464966,27.239999771118164
2004-04-27,0.48107099533081055,27.219999313354492
2004-04-28,0.4723210036754608,26.559999465942383
2004-04-29,0.47803598642349243,26.479999542236328
2004-04-30,0.46035701036453247,26.1299991607666
2004-05-03,0.4655359983444214,26.350000381469727
2004-05-04,0.4667859971523285,26.329999923706055
2004-05-05,0.4758929908275604,26.299999237060547
