序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
801,688228,开普云,70.25,0.8,0.56,33057.0,230366707.0,6.01,71.88,67.69,69.69,69.69,0.91,4.9,-232.81,3.79,4743156360.0,4743156360.0,0.53,0.1,70.92,125.45
802,000632,三木集团,5.02,0.8,0.04,267300.0,133493147.0,2.81,5.06,4.92,4.97,4.98,0.92,5.74,149.66,1.62,2336908241.0,2336717662.0,0.0,0.0,12.3,10.09
803,871634,新威凌,12.6,0.8,0.1,41224.0,50914109.48,6.24,12.78,12.0,12.44,12.5,1.06,26.61,41.96,3.31,785257200.0,195223392.0,0.72,0.72,75.0,68.0
804,300464,星徽股份,6.3,0.8,0.05,41764.0,26152570.0,2.24,6.33,6.19,6.26,6.25,1.07,1.33,-44.78,5.12,2964840877.0,1984370018.0,-0.16,-0.16,9.0,4.3
805,688259,创耀科技,71.86,0.8,0.57,28865.0,211889290.0,5.58,75.49,71.51,71.51,71.29,1.34,5.04,107.73,3.83,5748800000.0,4118497808.0,-0.31,-0.13,-18.24,-3.75
806,300890,翔丰华,32.88,0.8,0.26,12702.0,41906840.78,2.33,33.33,32.57,32.57,32.62,1.34,1.3,30.02,2.09,3594978892.0,3201138602.0,0.0,0.0,1.39,-18.81
807,002649,博彦科技,12.65,0.8,0.1,266902.0,341221640.5,8.69,13.45,12.36,12.66,12.55,1.95,4.83,25.04,1.85,7482646888.0,6991169569.0,-0.63,-0.47,3.35,25.37
808,001238,浙江正特,22.85,0.79,0.18,16965.0,38530959.66,2.16,22.97,22.48,22.65,22.67,1.0,5.31,55.71,2.26,2513500000.0,730677306.0,-0.31,-0.04,8.35,-20.58
809,000691,亚太实业,5.08,0.79,0.04,46250.0,23386368.0,3.17,5.17,5.01,5.04,5.04,0.71,1.43,-14.91,27.67,1642211600.0,1642211600.0,0.2,0.0,8.78,11.89
810,000858,五 粮 液,133.7,0.79,1.05,200133.0,2685090415.6,2.26,135.8,132.8,133.67,132.65,0.87,0.52,17.05,4.25,518970990269.0,518960013766.0,-0.07,-0.04,-17.47,-24.42
811,002612,朗姿股份,19.11,0.79,0.15,33107.0,63257606.72,2.16,19.33,18.92,18.95,18.96,1.02,1.31,32.7,2.8,8455131116.0,4845131761.0,0.0,0.05,-18.12,-31.16
812,000793,华闻集团,2.55,0.79,0.02,770020.0,197101101.56,3.95,2.6,2.5,2.52,2.53,0.85,3.93,-29.88,2.64,5092975915.0,5000571968.0,-0.39,0.0,20.28,-0.78
813,688573,信宇人,28.15,0.79,0.22,8325.0,23510982.0,2.72,28.64,27.88,27.88,27.93,0.67,4.26,-978.77,3.14,2751786022.0,549553336.0,0.14,0.25,-20.03,18.88
814,300591,万里马,6.4,0.79,0.05,91410.0,58426835.87,2.52,6.46,6.3,6.39,6.35,0.62,2.75,305.97,4.62,2596312173.0,2127421773.0,0.0,0.16,4.4,33.89
815,600745,闻泰科技,43.6,0.79,0.34,97747.0,425722049.0,1.78,43.89,43.12,43.43,43.26,0.57,0.79,19.36,1.49,54186466732.0,54186466732.0,0.07,0.07,-1.13,-17.08
816,300640,德艺文创,6.42,0.78,0.05,44926.0,28728297.9,1.88,6.44,6.32,6.39,6.37,0.82,2.05,67.94,2.47,2005944581.0,1409450652.0,-0.16,-0.16,6.82,17.15
817,300085,银之杰,15.48,0.78,0.12,272532.0,421270392.69,5.14,15.8,15.01,15.3,15.36,0.62,5.32,-151.29,14.85,10938795482.0,7934176584.0,-0.06,0.0,30.85,66.45
818,603500,祥和实业,11.62,0.78,0.09,14678.0,17022471.0,1.39,11.68,11.52,11.54,11.53,0.84,0.61,39.59,3.03,2853102477.0,2812280720.0,0.0,0.35,-1.11,3.66
819,834682,球冠电缆,7.75,0.78,0.06,43607.0,33590975.31,4.29,7.84,7.51,7.69,7.69,0.9,5.46,15.88,1.58,1612000000.0,619481525.0,0.0,0.0,32.03,60.79
820,000517,荣安地产,2.59,0.78,0.02,211059.0,54925554.66,2.33,2.63,2.57,2.57,2.57,1.11,0.85,6.05,0.9,8246359236.0,6454244817.0,0.39,0.39,-11.9,-1.52
821,688063,派能科技,94.63,0.78,0.73,35886.0,345845547.0,3.49,97.88,94.6,94.99,93.9,1.31,3.46,19.03,1.72,16619519892.0,9822053852.0,-0.11,-0.11,-27.34,-69.81
822,603389,亚振家居,6.5,0.78,0.05,26481.0,17081625.0,2.33,6.52,6.37,6.45,6.45,0.69,1.01,-17.5,3.95,1707888000.0,1707888000.0,0.0,-0.15,18.61,25.24
823,003020,立方制药,28.8,0.77,0.22,15374.0,43857651.7,2.1,28.8,28.2,28.7,28.58,0.84,1.35,20.13,2.87,4598642880.0,3289307270.0,0.07,0.17,7.91,17.74
824,002094,青岛金王,3.94,0.77,0.03,112900.0,44226111.0,1.79,3.95,3.88,3.91,3.91,0.86,1.64,48.1,1.84,2722136343.0,2720386983.0,0.0,0.0,5.63,-8.37
825,600503,华丽家族,2.63,0.77,0.02,216106.0,57218651.0,1.53,2.67,2.63,2.63,2.61,1.13,1.35,210.79,1.13,4214022700.0,4214022700.0,0.0,0.0,0.0,-3.31
826,600626,申达股份,3.95,0.77,0.03,129533.0,50947580.0,2.55,3.98,3.88,3.94,3.92,1.17,1.52,-16.49,1.58,5216941435.0,3366550698.0,-0.25,0.0,13.51,9.72
827,300437,清水源,11.87,0.76,0.09,16450.0,19585305.39,1.53,12.0,11.82,11.87,11.78,0.78,0.93,-274.4,1.92,3075078961.0,2110611786.0,0.0,0.08,-12.53,-30.99
828,002475,立讯精密,31.73,0.76,0.24,498781.0,1596585133.85,2.95,32.55,31.62,31.68,31.49,1.13,0.7,23.07,4.35,226811376859.0,226419538932.0,-0.13,-0.09,10.6,0.35
829,605138,盛泰集团,7.94,0.76,0.06,11422.0,9053562.0,1.27,7.96,7.86,7.88,7.88,0.73,0.38,25.93,1.72,4411152212.0,2360738522.0,-0.13,0.0,-0.75,-24.81
830,301055,张小泉,14.58,0.76,0.11,8438.0,12272911.36,1.73,14.65,14.4,14.48,14.47,0.73,1.44,183.98,3.46,2274480000.0,852201000.0,-0.14,-0.07,-0.14,-2.61
831,002285,世联行,2.67,0.75,0.02,337111.0,90640615.0,3.4,2.74,2.65,2.7,2.65,1.35,1.71,-273.44,1.6,5320853531.0,5275731968.0,0.0,0.38,-5.99,-18.84
832,300334,津膜科技,8.02,0.75,0.06,40034.0,31990818.0,2.01,8.07,7.91,7.93,7.96,1.16,1.33,-125.82,4.23,2422564155.0,2422278683.0,0.0,-0.12,6.93,28.12
833,833346,威贸电子,13.45,0.75,0.1,39456.0,51937087.78,5.62,13.52,12.77,13.48,13.35,0.67,13.9,28.51,2.58,1085181010.0,381658585.0,0.22,1.36,97.79,100.45
834,002160,常铝股份,4.04,0.75,0.03,143554.0,58137119.0,1.5,4.08,4.02,4.04,4.01,1.33,1.81,-128.05,1.17,4172435915.0,3205862404.0,0.25,0.25,0.5,1.51
835,603096,新经典,21.55,0.75,0.16,27521.0,59409814.0,3.41,21.88,21.15,21.2,21.39,0.77,1.69,20.27,1.77,3501952257.0,3501952257.0,-0.23,0.0,24.42,12.95
836,300450,先导智能,24.3,0.75,0.18,174106.0,424744778.81,2.07,24.63,24.13,24.3,24.12,1.32,1.2,12.28,3.03,38057761726.0,35281781242.0,-0.12,-0.16,-13.15,-38.81
837,688251,井松智能,28.37,0.75,0.21,2990.0,8454854.0,1.53,28.46,28.03,28.11,28.16,0.65,0.85,162.38,2.18,1685985524.0,1000694982.0,0.0,-0.07,-1.73,-4.25
838,600735,新华锦,6.77,0.74,0.05,63891.0,42847827.0,2.38,6.78,6.62,6.73,6.72,0.76,1.5,35.22,2.15,2902828543.0,2880308869.0,0.0,0.15,14.17,7.8
839,600303,ST曙光,4.08,0.74,0.03,95528.0,38417645.0,6.17,4.13,3.88,4.04,4.05,1.76,1.41,-8.33,1.45,2756465181.0,2756465181.0,-0.24,-0.24,-17.58,-33.22
840,600138,中青旅,10.88,0.74,0.08,150878.0,163980786.0,1.85,10.95,10.75,10.86,10.8,1.2,2.08,28.64,1.26,7875379200.0,7875379200.0,0.09,0.28,-12.19,-28.37
841,605339,南侨食品,19.06,0.74,0.14,16560.0,31614803.0,1.53,19.24,18.95,19.05,18.92,0.37,2.44,48.66,2.5,8121487271.0,1292093067.0,0.26,0.11,2.09,-15.1
842,600036,招商银行,27.23,0.74,0.2,980687.0,2697705037.0,3.14,28.05,27.2,27.47,27.03,1.68,0.48,4.52,0.77,686736395715.0,561726156802.0,-0.22,-0.18,-17.66,-23.34
843,600692,亚通股份,6.81,0.74,0.05,272965.0,187694276.0,5.33,7.11,6.75,6.89,6.76,1.55,10.7,-93.57,2.64,2395513276.0,1736621621.0,-0.15,0.29,18.02,15.62
844,603151,邦基科技,15.03,0.74,0.11,5774.0,8652259.0,1.07,15.05,14.89,14.92,14.92,0.51,0.71,27.91,2.08,2525040000.0,1214904960.0,0.2,0.0,-5.05,-26.83
845,002856,美芝股份,15.08,0.73,0.11,80632.0,120826420.3,2.94,15.19,14.75,14.97,14.97,0.47,6.92,-86.07,3.95,2040517145.0,1756621819.0,0.07,0.13,45.56,49.9
846,688701,卓锦股份,9.61,0.73,0.07,11776.0,11243313.0,1.89,9.63,9.45,9.54,9.54,0.62,1.75,-16.67,3.75,1290405545.0,646827526.0,0.1,0.42,6.19,17.05
847,601636,旗滨集团,6.87,0.73,0.05,223484.0,154361364.0,1.91,6.98,6.85,6.86,6.82,0.85,0.83,11.12,1.45,18435654247.0,18435654247.0,-0.15,0.29,-17.13,-38.33
848,300243,瑞丰高材,9.62,0.73,0.07,16715.0,15991741.0,1.57,9.66,9.51,9.56,9.55,0.61,0.88,25.73,2.38,2265156994.0,1834430931.0,0.0,0.0,3.66,24.45
849,300955,嘉亨家化,22.01,0.73,0.16,4100.0,9021771.0,1.33,22.13,21.84,21.96,21.85,0.67,0.91,63.53,2.26,2218608000.0,987407954.0,-0.23,-0.05,-3.93,-7.95
850,603779,威龙股份,9.65,0.73,0.07,67863.0,65214912.0,2.51,9.75,9.51,9.58,9.58,0.48,2.04,-861.89,4.61,3211029336.0,3211029336.0,0.21,0.42,12.34,46.21
851,603886,元祖股份,17.94,0.73,0.13,14920.0,26776016.0,1.8,18.16,17.84,17.92,17.81,1.02,0.62,10.71,2.56,4305600000.0,4305600000.0,-0.11,0.06,-5.63,-3.65
852,301330,熵基科技,34.55,0.73,0.25,66504.0,228745173.29,5.16,35.36,33.59,34.26,34.3,0.52,10.02,36.39,2.11,6726177001.0,2293164209.0,0.03,0.03,4.82,40.91
853,002315,焦点科技,35.98,0.73,0.26,91740.0,326795796.17,5.63,36.5,34.49,35.59,35.72,0.86,4.63,28.37,4.76,11260629585.0,7134998716.0,0.0,-0.66,27.86,110.29
854,300957,贝泰妮,65.17,0.73,0.47,33708.0,220794143.36,2.72,66.49,64.73,64.96,64.7,1.2,1.55,35.75,4.74,27606012000.0,14167548146.0,-0.09,-0.02,-33.76,-56.1
855,300498,温氏股份,19.42,0.73,0.14,202755.0,393750429.56,2.49,19.56,19.08,19.26,19.28,0.69,0.37,-21.39,3.77,129182439437.0,105679401371.0,-0.31,-0.36,15.32,-0.05
856,002971,和远气体,26.56,0.72,0.19,21303.0,56897730.0,2.46,27.04,26.39,26.49,26.37,1.18,1.71,52.13,3.36,4249600000.0,3308898186.0,0.11,0.15,15.88,46.82
857,600221,海航控股,1.4,0.72,0.01,480471.0,67205866.0,1.44,1.41,1.39,1.4,1.39,1.02,0.15,51.25,16.05,60501885549.0,46021747318.0,0.0,0.72,-6.67,-24.73
858,002523,天桥起重,2.8,0.72,0.02,153424.0,42756505.22,2.16,2.82,2.76,2.79,2.78,1.17,1.09,-634.45,1.81,3966594240.0,3946974811.0,0.0,0.36,3.32,-7.89
859,002193,如意集团,7.01,0.72,0.05,77655.0,54159880.38,2.44,7.03,6.86,6.96,6.96,0.67,2.98,-21.85,0.74,1834626006.0,1827293896.0,0.0,0.14,12.16,-27.36
860,002899,英派斯,16.83,0.72,0.12,19824.0,33183617.0,1.92,16.87,16.55,16.71,16.71,0.66,1.65,20.85,1.65,2019600000.0,2019600000.0,-0.18,-0.06,11.31,35.07
861,600877,电科芯片,14.04,0.72,0.1,69549.0,96838535.0,1.72,14.05,13.81,13.86,13.94,0.67,0.75,121.3,7.35,16625706351.0,12944591506.0,0.14,0.79,6.12,2.78
862,688789,宏华数科,99.81,0.72,0.71,2854.0,28465306.0,2.18,100.62,98.46,98.82,99.1,0.47,0.4,37.66,4.28,12020830544.0,7078214891.0,0.07,0.01,13.76,-15.72
863,603030,*ST全筑,2.82,0.71,0.02,143855.0,40449854.0,2.5,2.84,2.77,2.83,2.8,1.03,2.12,187.99,-12.01,1913097388.0,1913097388.0,0.0,0.0,-12.69,6.82
864,002122,汇洲智能,4.23,0.71,0.03,321229.0,134884302.9,1.9,4.24,4.16,4.2,4.2,0.52,1.61,50.64,3.77,8458158935.0,8418332643.0,0.0,0.24,34.29,35.58
865,603199,九华旅游,26.82,0.71,0.19,13193.0,35426088.0,1.43,27.02,26.64,26.78,26.63,0.79,1.19,14.67,2.13,2968437600.0,2968437600.0,-0.11,0.04,-12.67,-5.66
866,000929,兰州黄河,9.93,0.71,0.07,23128.0,22970450.0,1.62,10.01,9.85,9.89,9.86,0.59,1.25,123.49,2.83,1844656380.0,1844539434.0,0.0,0.0,0.3,-18.2
867,600400,红豆股份,2.84,0.71,0.02,94776.0,26869418.0,1.77,2.86,2.81,2.82,2.82,0.97,0.41,124.99,2.21,6532715260.0,6507496060.0,0.35,0.0,-5.02,-30.56
868,002842,翔鹭钨业,8.53,0.71,0.06,22025.0,18772034.85,1.77,8.61,8.46,8.49,8.47,0.73,1.02,-43.64,2.81,2356335909.0,1842468979.0,-0.12,0.0,-2.07,9.36
869,603506,南都物业,11.42,0.71,0.08,18780.0,21492387.0,1.5,11.53,11.36,11.45,11.34,0.66,1.0,14.04,1.98,2144422236.0,2144422236.0,-0.26,-0.09,-7.98,-5.31
870,002982,湘佳股份,21.6,0.7,0.15,12085.0,26151602.17,1.91,21.85,21.44,21.55,21.45,0.6,1.31,-41.47,1.88,3080906410.0,1992479623.0,0.37,0.0,-5.22,-29.39
871,688358,祥生医疗,37.51,0.7,0.26,13992.0,53099887.0,3.89,38.75,37.3,37.58,37.25,1.15,1.25,22.3,3.06,4205791383.0,4205791383.0,-0.16,0.0,-5.25,11.31
872,601658,邮储银行,4.34,0.7,0.03,772764.0,335598141.0,1.39,4.38,4.32,4.33,4.31,0.89,0.12,4.27,0.56,430359070005.0,291311195168.0,0.0,0.46,-12.32,-0.46
873,000961,中南建设,1.45,0.69,0.01,624870.0,91304346.48,2.08,1.48,1.45,1.45,1.44,0.81,1.64,-3.46,0.44,5548510406.0,5526131066.0,-0.68,0.0,-13.69,-33.79
874,300568,星源材质,14.51,0.69,0.1,156574.0,228430027.31,2.29,14.78,14.45,14.45,14.41,0.68,1.36,20.89,2.06,18597219880.0,16679297163.0,0.07,0.07,8.85,-31.43
875,600880,博瑞传播,5.81,0.69,0.04,306771.0,178556435.0,3.64,5.9,5.69,5.75,5.77,0.89,2.81,119.53,2.09,6352259455.0,6350505317.0,-0.17,-0.51,10.88,7.99
876,301266,宇邦新材,39.22,0.69,0.27,26711.0,106150748.62,3.29,40.29,39.01,39.6,38.95,2.38,7.12,26.0,2.75,4078880000.0,1470750000.0,0.05,0.05,-24.29,-48.0
877,301121,紫建电子,39.39,0.69,0.27,6179.0,24412135.0,2.1,39.87,39.05,39.12,39.12,0.86,2.09,-528.55,1.72,2788937418.0,1164440444.0,-0.05,-0.05,-2.33,-23.44
878,002501,利源股份,1.46,0.69,0.01,175689.0,25611802.0,2.07,1.47,1.44,1.45,1.45,1.01,0.5,-33.43,4.55,5183000000.0,5170033749.0,0.0,0.69,-2.01,-21.51
879,688323,瑞华泰,20.45,0.69,0.14,8744.0,17845045.0,2.02,20.61,20.2,20.42,20.31,1.31,0.89,-359.81,4.15,3681003272.0,1998661159.0,0.0,-0.1,-4.08,-13.75
880,002587,奥拓电子,7.31,0.69,0.05,484863.0,351582686.44,3.72,7.36,7.09,7.26,7.26,0.93,9.45,644.14,3.42,4762787780.0,3752030835.0,0.14,0.14,7.03,45.91
881,002059,云南旅游,5.86,0.69,0.04,149807.0,87889031.0,3.44,5.94,5.74,5.74,5.82,2.46,1.59,-41.32,3.38,5932868004.0,5531025759.0,-0.17,0.17,-6.24,-26.93
882,002174,游族网络,13.19,0.69,0.09,394809.0,518506684.88,4.35,13.39,12.82,13.06,13.1,0.55,4.32,867.54,2.73,12080513060.0,12058087422.0,0.0,-0.15,13.51,42.44
883,601718,际华集团,2.96,0.68,0.02,396417.0,117466382.0,2.04,2.99,2.93,2.94,2.94,1.01,0.9,89.56,0.76,12999223036.0,12999223036.0,-0.34,-0.34,0.68,2.78
884,300808,久量股份,14.84,0.68,0.1,20628.0,30643809.0,2.1,15.03,14.72,14.81,14.74,0.81,2.37,43.01,2.25,2374400000.0,1290079547.0,-0.07,0.0,12.68,17.5
885,001366,播恩集团,14.86,0.68,0.1,12987.0,19228755.11,1.56,14.9,14.67,14.77,14.76,0.41,3.22,52.48,2.82,2387704800.0,599601000.0,0.0,0.07,-1.85,62.58
886,002830,名雕股份,14.87,0.68,0.1,11736.0,17337088.0,2.3,14.95,14.61,14.8,14.77,0.52,1.76,99.47,3.02,1982765800.0,994096675.0,0.0,0.0,12.14,29.98
887,301312,智立方,104.19,0.68,0.7,6173.0,64152084.74,5.22,106.4,101.0,103.0,103.49,0.53,3.67,89.15,5.72,6519860434.0,1752090818.0,-0.3,-0.05,32.41,85.33
888,000758,中色股份,4.47,0.68,0.03,182449.0,81707506.77,1.58,4.51,4.44,4.44,4.44,1.44,0.93,21.28,1.71,8909823361.0,8802835341.0,0.0,0.22,-10.78,-5.89
889,002631,德尔未来,5.97,0.67,0.04,63045.0,37879945.8,2.87,6.08,5.91,5.91,5.93,0.85,0.96,1049.84,2.34,3932169562.0,3909969013.0,-0.33,-0.17,4.92,7.18
890,003027,同兴环保,17.92,0.67,0.12,10278.0,18438030.0,1.8,18.12,17.8,17.8,17.8,0.47,1.54,62.94,1.39,2358637568.0,1194804352.0,0.0,0.0,-4.93,-25.92
891,301371,敷尔佳,38.87,0.67,0.26,10145.0,39377063.0,2.02,39.18,38.4,38.6,38.61,0.98,2.7,21.75,2.89,15551109600.0,1462765130.0,-0.05,0.08,-20.9,-30.19
892,600338,西藏珠峰,12.0,0.67,0.08,136466.0,164978707.0,2.85,12.26,11.92,11.93,11.92,0.94,1.49,116.75,3.1,10970522016.0,10970522016.0,-0.08,0.08,-18.92,-47.64
893,605336,帅丰电器,15.02,0.67,0.1,16008.0,24113402.0,3.08,15.33,14.87,14.89,14.92,1.3,0.87,14.89,1.43,2763817433.0,2754854999.0,0.07,0.0,-11.28,6.37
894,600628,新世界,7.51,0.67,0.05,56264.0,42208988.0,1.88,7.57,7.43,7.48,7.46,1.16,0.87,70.6,1.15,4858034134.0,4858034134.0,-0.13,0.13,3.02,-1.31
895,601100,恒立液压,51.11,0.67,0.34,59402.0,304763041.0,3.15,52.16,50.56,50.96,50.77,1.31,0.44,29.31,5.03,68529360901.0,68529360901.0,-0.02,0.2,-19.55,-18.26
896,688065,凯赛生物,55.67,0.67,0.37,11094.0,61798607.0,1.72,56.08,55.13,55.5,55.3,0.56,0.27,77.6,2.92,32476655431.0,22468479472.0,0.22,0.05,-0.84,-8.9
897,833819,颖泰生物,4.52,0.67,0.03,89985.0,40448822.82,3.12,4.56,4.42,4.49,4.49,1.16,0.74,27.07,0.94,5540616000.0,5460479790.0,0.0,0.44,7.36,-11.2
898,830879,基康仪器,10.57,0.67,0.07,17371.0,18195679.88,5.33,10.76,10.2,10.53,10.5,0.73,3.31,22.93,2.79,1474491492.0,554263709.0,0.86,0.67,49.08,100.19
899,002486,嘉麟杰,3.02,0.67,0.02,102106.0,30684688.0,2.33,3.03,2.96,3.0,3.0,0.82,1.23,36.5,2.36,2512640000.0,2512640000.0,0.0,0.33,4.5,-9.85
900,300912,凯龙高科,18.17,0.66,0.12,13809.0,24960492.9,1.72,18.25,17.94,18.25,18.05,0.7,1.63,-147.11,2.62,2089949740.0,1543459735.0,0.0,0.22,-2.21,34.49
901,000888,峨眉山Ａ,9.12,0.66,0.06,76679.0,69955733.0,2.21,9.21,9.01,9.06,9.06,0.97,1.46,13.8,1.9,4805447490.0,4805447490.0,0.11,0.11,-13.88,-3.7
902,000681,视觉中国,16.72,0.66,0.11,446340.0,745288763.81,4.82,17.0,16.2,16.6,16.61,0.68,6.61,71.7,3.33,11713654730.0,11284851219.0,0.0,0.12,14.68,36.05
903,601456,国联证券,12.18,0.66,0.08,609155.0,737097798.0,3.22,12.29,11.9,12.12,12.1,1.14,2.55,35.59,1.93,34490997186.0,29099641986.0,0.08,0.16,17.23,8.27
904,000001,平安银行,9.21,0.66,0.06,988939.0,915126127.17,1.75,9.35,9.19,9.2,9.15,1.03,0.51,3.38,0.45,178728506604.0,178725087410.0,-0.11,0.11,-18.42,-28.49
905,300619,金银河,50.94,0.65,0.33,2956.0,15044090.8,1.24,51.16,50.53,50.91,50.61,0.53,0.41,31.29,4.29,4535424613.0,3683008559.0,0.0,-0.06,-15.84,-18.26
906,600962,国投中鲁,12.35,0.65,0.08,49673.0,61004758.0,2.77,12.44,12.1,12.26,12.27,1.04,1.89,65.8,3.91,3238293500.0,3238293500.0,0.32,0.16,14.14,-6.3
907,600307,酒钢宏兴,1.55,0.65,0.01,149766.0,23156027.0,0.65,1.55,1.54,1.54,1.54,0.63,0.24,-20.39,0.9,9708204007.0,9708204007.0,0.0,0.0,-2.52,-6.06
908,000809,铁岭新城,3.1,0.65,0.02,80563.0,25136095.5,3.25,3.19,3.09,3.1,3.08,0.95,0.98,-22.89,0.9,2556853008.0,2556853008.0,-0.32,-0.32,-12.92,7.27
909,601881,中国银河,12.45,0.65,0.08,773900.0,970230846.0,2.67,12.73,12.4,12.45,12.37,0.86,1.09,15.25,1.41,134268884706.0,88316126025.0,-0.08,0.0,10.77,37.42
910,603980,吉华集团,4.67,0.65,0.03,22850.0,10653793.0,1.08,4.68,4.63,4.64,4.64,0.78,0.33,-39.6,0.81,3269000000.0,3269000000.0,-0.21,0.0,3.09,2.19
911,300069,金利华电,15.61,0.64,0.1,11286.0,17554319.47,2.19,15.7,15.36,15.52,15.51,0.67,0.96,-3240.48,7.79,1826370000.0,1826370000.0,0.13,0.13,10.79,24.58
912,301419,阿莱德,37.55,0.64,0.24,8040.0,30090134.58,1.85,37.76,37.07,37.32,37.31,0.58,3.22,49.17,3.94,3755000000.0,938750000.0,0.03,0.03,-26.83,54.53
913,600844,丹化科技,3.13,0.64,0.02,73944.0,23019510.0,1.29,3.13,3.09,3.12,3.11,0.76,0.9,-13.57,4.2,3181720871.0,2575146884.0,0.0,0.64,5.03,-1.57
914,002404,嘉欣丝绸,6.26,0.64,0.04,27525.0,17208854.0,1.13,6.28,6.21,6.23,6.22,0.65,0.59,16.12,1.81,3616236993.0,2941403190.0,-0.16,0.0,-2.19,2.29
915,002353,杰瑞股份,26.61,0.64,0.17,82012.0,221482458.56,3.29,27.48,26.61,26.83,26.44,1.31,1.18,13.07,1.48,27244803716.0,18454240961.0,-0.22,-0.3,-14.41,-3.52
916,300522,世名科技,14.19,0.64,0.09,62803.0,88256252.8,4.18,14.29,13.7,14.09,14.1,0.92,2.87,98.48,5.59,4575586884.0,3099940319.0,0.14,0.14,12.62,78.27
917,300175,朗源股份,6.31,0.64,0.04,281715.0,175889805.95,4.94,6.37,6.06,6.31,6.27,1.07,5.98,-130.85,5.54,2970748000.0,2970748000.0,-0.16,-0.32,45.06,58.54
918,000558,莱茵体育,3.16,0.64,0.02,568176.0,178205287.55,4.14,3.2,3.07,3.18,3.14,1.2,4.41,-149.5,3.73,4073947679.0,4072243361.0,-0.32,0.0,10.49,9.72
919,600773,西藏城投,11.08,0.64,0.07,49386.0,55126166.0,2.27,11.28,11.03,11.03,11.01,0.8,0.6,110.74,2.37,9081841044.0,9081841044.0,0.0,0.0,-4.32,-38.89
920,300898,熊猫乳品,23.78,0.63,0.15,23822.0,56510202.17,2.37,23.95,23.39,23.67,23.63,0.51,2.17,27.05,3.22,2948720000.0,2611434610.0,0.0,0.04,-3.76,-1.94
921,001231,农心科技,20.76,0.63,0.13,6226.0,12897220.0,1.65,20.92,20.58,20.84,20.63,0.37,1.75,44.99,2.25,2076000000.0,736699740.0,-0.19,-0.19,-3.71,-7.49
922,301287,康力源,36.8,0.63,0.23,4535.0,16630859.0,1.53,36.96,36.4,36.58,36.57,0.82,2.72,21.24,2.29,2453456000.0,613456000.0,0.38,0.77,-8.82,-8.25
923,301102,兆讯传媒,20.85,0.63,0.13,35094.0,73232696.1,3.47,21.12,20.4,20.73,20.72,0.65,4.93,37.63,2.02,6046500000.0,1483196755.0,0.0,-0.05,2.01,-17.29
924,300051,琏升科技,11.24,0.63,0.07,28878.0,32351503.88,2.86,11.38,11.06,11.24,11.17,0.99,0.79,-159.07,13.64,4110453276.0,4110453276.0,0.27,0.27,-10.15,23.52
925,603216,梦天家居,12.85,0.63,0.08,8713.0,11171565.0,1.72,12.93,12.71,12.77,12.77,0.62,1.54,48.8,1.65,2878657000.0,728466500.0,-0.16,0.0,-0.62,-3.96
926,603808,歌力思,9.65,0.63,0.06,18649.0,18029330.0,1.15,9.72,9.61,9.64,9.59,0.68,0.51,19.59,1.21,3561746273.0,3561746273.0,-0.1,-0.31,-19.31,6.28
927,000912,泸天化,4.85,0.62,0.03,337320.0,163105266.16,2.7,4.92,4.79,4.83,4.82,0.52,2.15,24.14,1.17,7604800000.0,7604800000.0,0.0,0.0,10.73,2.54
928,605033,美邦股份,17.88,0.62,0.11,9706.0,17341728.0,1.41,17.98,17.73,17.76,17.77,0.81,2.87,25.83,2.15,2417376000.0,604344000.0,0.06,0.0,-5.2,5.8
929,300413,芒果超媒,29.28,0.62,0.18,335819.0,982973461.74,5.6,29.99,28.36,29.53,29.1,1.07,3.29,23.27,2.69,54774705463.0,29915374770.0,0.31,0.1,5.25,-2.04
930,688113,联测科技,44.0,0.62,0.27,806.0,3535155.0,1.6,44.2,43.5,43.68,43.73,0.52,0.19,33.69,3.34,2817152360.0,1822004360.0,0.23,0.23,-1.35,5.97
931,600565,迪马股份,1.63,0.62,0.01,305370.0,50058734.0,3.09,1.66,1.61,1.62,1.62,1.09,1.23,-7.9,0.87,4061155243.0,4061155243.0,0.0,0.0,-3.55,-24.54
932,301548,崇德科技,60.46,0.62,0.37,2042.0,12297182.06,2.13,60.98,59.7,60.98,60.09,0.49,1.44,33.56,2.57,3627600000.0,859899484.0,0.12,0.23,-9.49,-9.49
933,002398,垒知集团,4.91,0.61,0.03,48685.0,23973852.0,1.43,4.96,4.89,4.89,4.88,0.87,0.84,15.71,0.96,3503882734.0,2856234869.0,0.0,0.0,-7.71,-13.4
934,600397,安源煤业,3.28,0.61,0.02,475178.0,155686657.0,2.76,3.32,3.23,3.23,3.26,1.77,4.8,249.48,5.43,3247068413.0,3247068413.0,0.0,0.0,1.55,8.25
935,603098,森特股份,13.15,0.61,0.08,26005.0,34313679.0,2.14,13.35,13.07,13.07,13.07,0.64,0.48,65.7,2.59,7097054711.0,7085219711.0,0.08,0.15,-28.38,-53.32
936,000007,*ST全新,4.98,0.61,0.03,9492.0,4733156.0,1.82,5.02,4.93,4.97,4.95,0.69,0.31,119.29,17.02,1725311259.0,1538561259.0,-0.2,-0.2,8.97,-35.99
