序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
49,002786,银宝山新,13.88,9.98,1.26,1117445.0,1494059776.14,13.71,13.88,12.15,12.38,12.62,1.14,22.62,-36.04,72.16,6879094560.0,6858274560.0,0.0,0.0,124.23,96.32
50,600712,南宁百货,7.17,9.97,0.65,1059832.0,758531344.0,2.45,7.17,7.01,7.17,6.52,6.71,19.68,-159.71,4.86,3905178931.0,3862108820.0,0.0,0.0,81.06,41.42
51,000524,岭南控股,10.49,9.96,0.95,126664.0,132861044.74,1.47,10.49,10.35,10.49,9.54,1.72,1.89,92.06,3.36,7030488183.0,7029156204.0,0.0,0.0,9.61,-12.51
52,000421,南京公用,9.72,9.95,0.88,1574363.0,1488334650.03,13.8,9.72,8.5,8.53,8.84,1.64,27.49,185.38,1.98,5620705998.0,5566128198.0,0.0,0.0,89.84,102.92
53,601999,出版传媒,9.61,9.95,0.87,803218.0,753448221.0,10.41,9.61,8.7,8.7,8.74,1.22,14.58,62.87,2.13,5294290267.0,5294290267.0,0.0,0.0,51.1,47.62
54,600159,大龙地产,4.54,9.93,0.41,1225006.0,548278343.0,4.6,4.54,4.35,4.38,4.13,1.07,14.76,739.73,1.67,3768214673.0,3768214673.0,0.0,0.0,51.33,50.33
55,002445,中南文化,2.99,9.93,0.27,516642.0,154476047.7,0.0,2.99,2.99,2.99,2.72,0.37,2.17,41.75,3.32,7151088310.0,7120498134.0,0.0,0.0,27.23,21.54
56,002640,跨境通,4.32,9.92,0.39,1539357.0,632824529.34,13.23,4.32,3.8,3.91,3.93,3.39,10.86,-345.62,5.04,6730738546.0,6122728090.0,0.0,0.0,19.34,-18.8
57,002127,南极电商,3.89,9.89,0.35,966907.0,362443664.01,10.73,3.89,3.51,3.54,3.54,3.32,4.85,86.0,2.12,9549445868.0,7759399326.0,0.0,0.0,9.89,-19.13
58,871396,常辅股份,11.57,9.67,1.02,17617.0,20589121.14,24.17,13.0,10.45,10.74,10.55,2.32,4.53,29.55,2.45,691588420.0,449885693.0,0.87,1.22,75.84,75.84
59,836892,广咨国际,15.26,8.77,1.23,58264.0,90664906.35,21.1,16.99,14.03,14.03,14.03,1.51,5.24,30.59,5.41,1969364895.0,1698302476.0,0.07,0.26,79.11,149.75
60,300093,金刚光伏,17.53,8.61,1.39,229197.0,398989918.78,14.81,18.43,16.04,16.04,16.14,1.82,10.65,-16.41,-28.81,3786480000.0,3772818871.0,0.17,0.11,7.22,-59.08
61,870508,丰安股份,10.8,8.54,0.85,43882.0,46542497.76,16.08,11.48,9.88,10.0,9.95,2.49,16.8,19.37,1.53,672192000.0,282057779.0,0.0,0.56,51.9,29.65
62,871245,威博液压,13.3,8.13,1.0,14007.0,18062430.18,12.6,13.65,12.1,12.2,12.3,1.77,6.16,29.29,2.02,648375000.0,302641846.0,0.91,1.53,51.14,24.3
63,300556,丝路视觉,28.07,8.13,2.11,223649.0,615929561.06,10.94,28.67,25.83,26.18,25.96,1.65,21.87,564.6,3.77,3405292373.0,2870823040.0,0.25,0.11,16.04,60.22
64,830964,润农节水,4.19,7.71,0.3,198028.0,79983938.74,9.25,4.19,3.83,3.93,3.89,1.91,11.04,34.07,1.23,1094461520.0,751666772.0,0.48,0.48,38.28,30.94
65,300467,迅游科技,18.26,7.67,1.3,282534.0,513845593.16,19.16,19.99,16.74,17.09,16.96,3.84,17.04,92.83,5.99,3710521419.0,3027763804.0,0.0,0.05,28.05,53.32
66,873305,九菱科技,19.52,7.55,1.37,26128.0,49601895.8,12.07,20.0,17.81,18.01,18.15,1.35,23.3,24.98,2.87,874866880.0,218923964.0,0.1,0.1,82.43,100.82
67,603178,圣龙股份,45.34,7.49,3.16,335478.0,1481499218.0,11.14,45.8,41.1,41.1,42.18,0.99,14.19,227.65,8.47,10718914685.0,10718914685.0,0.0,0.33,318.65,376.26
68,000065,北方国际,11.98,7.35,0.82,577853.0,685935157.07,9.95,12.28,11.17,11.2,11.16,8.42,6.38,13.03,1.47,12001323394.0,10846168833.0,-0.42,-0.17,-15.4,46.28
69,600638,新黄浦,5.83,7.17,0.39,455224.0,267631323.0,8.82,5.98,5.5,5.56,5.44,5.3,6.76,35.91,0.88,3925903262.0,3925903262.0,0.17,0.69,-3.16,3.74
70,600683,京投发展,5.64,7.02,0.37,669484.0,377592703.0,7.4,5.8,5.41,5.5,5.27,2.73,9.04,43.97,1.57,4177985647.0,4177985647.0,0.18,0.18,-13.76,22.34
71,837242,建邦科技,17.81,6.97,1.16,33021.0,56745012.21,9.61,17.88,16.28,16.81,16.65,1.47,9.72,16.54,2.37,1106521943.0,604885037.0,0.0,1.02,85.91,131.6
72,873527,夜光明,10.04,6.92,0.65,32164.0,31282309.0,9.27,10.09,9.22,9.22,9.39,1.61,12.46,43.64,1.62,602828708.0,259249507.0,0.2,0.4,55.18,29.55
73,831627,力王股份,12.65,6.75,0.8,85667.0,107531274.45,14.43,13.26,11.55,11.57,11.85,1.5,34.97,34.99,2.84,1194792500.0,309908555.0,0.4,-0.39,67.77,-19.73
74,870866,绿亨科技,7.81,6.69,0.49,58354.0,43702924.41,10.11,7.86,7.12,7.31,7.32,1.92,11.09,23.15,1.86,1407408079.0,411042151.0,0.13,1.96,38.23,27.61
75,300961,深水海纳,11.58,6.34,0.69,141435.0,160579286.22,7.44,11.66,10.85,10.89,10.89,5.77,11.5,-59.29,2.02,2052902400.0,1423882231.0,-0.34,-0.34,7.42,13.09
76,600830,香溢融通,7.56,6.33,0.45,484156.0,366391517.0,10.69,7.82,7.06,7.12,7.11,4.57,10.66,108.91,1.62,3434679967.0,3434679967.0,0.4,0.27,21.15,20.19
77,870726,鸿智科技,20.15,6.28,1.19,24573.0,47508061.16,12.45,20.65,18.29,18.69,18.96,1.21,25.46,25.28,3.52,841043470.0,194491306.0,-0.15,0.25,114.59,57.67
78,000722,湖南发展,11.39,6.25,0.67,521566.0,581180300.05,11.94,11.79,10.51,10.72,10.72,3.1,11.24,87.96,1.66,5286762832.0,5286762832.0,0.0,0.8,5.17,-14.55
79,600621,华鑫股份,13.34,6.21,0.78,783375.0,1042190693.0,9.39,13.81,12.63,12.65,12.56,3.62,7.38,25.56,1.83,14152396555.0,14152396555.0,0.15,-0.07,14.11,30.4
80,300909,汇创达,30.8,6.21,1.8,109753.0,333980128.98,5.62,31.26,29.63,29.76,29.0,3.2,10.25,69.79,2.87,5327567753.0,3297290335.0,0.82,1.02,23.0,3.36
81,830779,武汉蓝电,32.91,6.2,1.92,17632.0,56305380.3,9.2,32.91,30.06,30.98,30.99,2.11,14.48,21.8,3.9,1882452000.0,400620045.0,0.15,0.7,36.1,-3.49
82,833914,远航精密,11.67,6.19,0.68,50036.0,57837726.5,7.28,11.88,11.08,11.24,10.99,1.9,8.31,23.25,1.34,1167000000.0,702531083.0,0.0,0.6,37.78,12.21
83,430198,微创光电,12.9,6.17,0.75,212728.0,268157245.52,15.14,13.5,11.66,12.28,12.15,1.62,33.7,-44.13,3.5,2081593949.0,814391396.0,0.0,3.2,213.11,175.05
84,301558,三态股份,16.57,6.15,0.96,442933.0,711769008.06,11.15,16.99,15.25,15.77,15.61,1.1,39.82,91.38,9.38,13071264765.0,1843111837.0,0.06,0.49,126.06,126.06
85,300691,联合光电,20.08,6.08,1.15,184635.0,369540979.1,10.14,20.77,18.85,18.85,18.93,2.38,9.24,82.43,3.27,5404362424.0,4013310545.0,0.05,0.05,5.96,62.85
86,301313,凡拓数创,35.11,6.04,2.0,142831.0,497874095.53,9.15,35.97,32.94,33.29,33.11,1.22,22.04,-117.75,3.56,3592925674.0,2274916146.0,0.0,0.2,-14.53,7.96
87,871857,泓禧科技,14.78,5.95,0.83,53928.0,77669198.65,12.76,15.18,13.4,13.61,13.95,1.86,7.29,24.68,2.81,1093825707.0,1093825707.0,0.07,0.61,80.91,72.26
88,002598,山东章鼓,10.78,5.89,0.6,369729.0,402785445.83,11.0,11.2,10.08,10.13,10.18,5.57,13.19,25.0,2.95,3363360000.0,3022699344.0,0.09,0.84,4.46,-2.88
89,301318,维海德,34.66,5.86,1.92,48477.0,162845419.15,9.32,34.8,31.75,32.4,32.74,1.43,16.24,34.41,2.06,3608729880.0,1034933805.0,-0.06,-0.37,12.31,23.21
90,600178,东安动力,18.22,5.81,1.0,1007079.0,1820940429.0,11.15,18.77,16.85,17.05,17.22,0.96,21.79,216.92,3.4,8663484282.0,8419097600.0,-0.05,-0.87,183.36,204.17
91,300494,盛天网络,19.17,5.79,1.05,986044.0,1886331488.6,9.05,19.97,18.33,18.7,18.12,1.32,24.67,39.35,5.46,9388671902.0,7661156444.0,0.05,0.37,43.49,132.36
92,002655,共达电声,13.25,5.75,0.72,354443.0,473978699.58,9.18,13.78,12.63,12.68,12.53,5.03,9.85,107.59,7.93,4845578000.0,4768569994.0,0.0,-0.08,16.02,19.15
93,603028,赛福天,11.62,5.73,0.63,158237.0,179991063.0,6.64,11.7,10.97,10.97,10.99,2.16,5.51,63.33,4.49,3335404800.0,3335404800.0,-0.09,0.0,-5.07,25.89
94,301067,显盈科技,29.4,5.6,1.56,45977.0,132717722.66,7.94,29.86,27.65,27.95,27.84,1.22,10.17,142.43,3.38,2858738400.0,1328913810.0,-0.34,-0.31,28.95,47.22
95,831167,鑫汇科,16.25,5.59,0.86,14914.0,23200503.2,9.16,16.25,14.84,15.5,15.39,0.77,7.38,33.31,3.21,812222791.0,328449761.0,0.12,0.18,72.32,83.0
96,301358,湖南裕能,34.58,5.56,1.82,85653.0,296608999.73,9.25,35.85,32.82,32.89,32.76,1.88,6.4,12.74,2.33,26185811161.0,4631072555.0,0.03,0.03,-10.95,47.97
97,873679,前进科技,26.33,5.53,1.38,50690.0,130976951.4,11.86,27.18,24.22,25.3,24.95,2.06,39.67,28.02,2.87,1470530500.0,336444740.0,0.15,0.23,88.21,88.21
98,834475,三友科技,10.07,5.45,0.52,33782.0,32967526.95,7.64,10.1,9.37,9.56,9.55,1.44,7.42,22.63,2.87,1036807200.0,458396450.0,0.1,-0.1,58.08,56.12
99,301061,匠心家居,44.71,5.42,2.3,16148.0,71168870.8,5.47,44.99,42.67,42.73,42.41,3.03,5.05,13.31,1.97,5722880000.0,1430720000.0,-0.13,-0.02,7.86,61.06
100,838810,春光药装,10.09,5.32,0.51,46840.0,46156007.54,9.81,10.33,9.39,9.68,9.58,1.43,18.09,27.54,2.41,691165000.0,261246708.0,0.0,0.7,47.51,24.11
101,002518,科士达,25.02,5.3,1.26,315662.0,798129950.96,9.13,26.14,23.97,23.97,23.76,3.93,5.59,15.92,3.62,14686091832.0,14139794393.0,-0.04,-0.04,-11.75,-56.3
102,600678,四川金顶,10.75,5.29,0.54,1468467.0,1549557284.0,7.44,10.96,10.2,10.21,10.21,1.38,42.08,-684.88,14.53,3751642500.0,3751642500.0,0.37,0.47,97.61,83.13
103,833427,华维设计,8.41,5.26,0.42,66429.0,59263223.84,16.9,9.58,8.23,8.75,7.99,2.0,16.87,24.91,2.49,867028950.0,331131993.0,0.12,1.33,57.2,78.94
104,688137,近岸蛋白,55.14,5.23,2.74,15431.0,86169456.0,7.52,56.94,53.0,53.0,52.4,5.11,5.68,182.79,1.77,3869473706.0,1497824945.0,-0.02,0.24,12.99,-26.97
105,301260,格力博,17.52,5.23,0.87,111760.0,197572613.47,10.87,18.46,16.65,16.65,16.65,7.59,9.2,-36.54,1.78,8517557679.0,2129380800.0,-0.06,0.23,-6.21,-43.1
106,871642,通易航天,9.29,5.21,0.46,31660.0,28447764.43,8.49,9.29,8.54,8.79,8.83,1.11,5.78,83.25,4.09,963096883.0,509232818.0,0.98,2.09,23.21,25.37
107,831445,龙竹科技,7.53,5.17,0.37,82887.0,61458299.64,7.4,7.68,7.15,7.17,7.16,1.56,8.96,78.91,3.09,1122399398.0,696197249.0,0.4,0.53,77.59,17.84
108,000620,*ST新联,1.84,5.14,0.09,531095.0,95781619.63,5.71,1.84,1.74,1.77,1.75,2.24,2.8,-1.49,-1.59,3489910373.0,3489788519.0,0.0,0.0,9.52,-50.0
109,603313,梦百合,10.33,5.09,0.5,113562.0,118159459.0,8.04,10.79,10.0,10.0,9.83,3.24,2.34,39.14,1.51,5894162522.0,5013139073.0,-0.19,0.0,-10.56,-2.55
110,600647,*ST同达,10.65,5.03,0.51,3800.0,4047000.0,0.0,10.65,10.65,10.65,10.14,1.51,0.27,-159.8,5.14,1481878808.0,1481878808.0,0.0,0.0,-10.2,-16.8
111,000889,ST中嘉,2.12,4.95,0.1,243865.0,50726179.33,5.45,2.12,2.01,2.03,2.02,2.62,2.8,-58.39,8.42,1984937166.0,1844081313.0,0.0,0.0,6.53,13.98
112,601188,龙江交通,4.46,4.94,0.21,1162938.0,514803246.0,11.76,4.68,4.18,4.26,4.25,3.06,8.84,24.26,1.27,5868818427.0,5868818427.0,0.22,0.22,9.58,42.04
113,002354,天娱数科,5.97,4.92,0.28,1855949.0,1096706056.64,8.96,6.12,5.61,5.72,5.69,2.16,11.47,546.02,3.89,9877877345.0,9661674763.0,0.0,-0.17,13.28,52.69
114,832110,雷特科技,19.7,4.9,0.92,13148.0,25239285.09,6.98,19.77,18.46,18.78,18.78,1.07,10.93,23.56,2.29,768300000.0,236931900.0,0.05,0.1,49.7,26.61
115,603107,上海汽配,26.23,4.88,1.22,206076.0,533688039.0,8.4,26.73,24.63,24.63,25.01,2.48,24.93,52.86,4.5,8848297050.0,2167806154.0,0.0,0.0,84.33,84.33
116,002280,联络互动,3.01,4.88,0.14,1060529.0,312587153.66,5.57,3.01,2.85,2.89,2.87,2.3,5.41,-7.84,28.73,6553220522.0,5901756304.0,0.0,0.0,3.44,8.27
117,300058,蓝色光标,8.61,4.87,0.4,2647821.0,2261630580.71,11.33,8.99,8.06,8.17,8.21,1.67,11.49,55.79,2.76,21417708500.0,19839085793.0,0.23,-0.12,13.29,70.5
118,600238,海南椰岛,11.2,4.87,0.52,255977.0,282420535.0,6.74,11.3,10.58,10.65,10.68,3.3,5.75,-56.74,16.26,5019840000.0,4984017696.0,0.0,0.36,7.28,-30.0
119,000615,*ST美谷,3.45,4.86,0.16,236058.0,80819802.32,3.04,3.45,3.35,3.44,3.29,1.12,3.1,-41.19,-12.59,2632280031.0,2628107135.0,0.0,0.0,-32.49,-58.23
120,603007,ST花王,4.96,4.86,0.23,106428.0,51892238.0,5.71,4.97,4.7,4.71,4.73,2.97,3.04,-37.9,5.65,1735413068.0,1735413068.0,0.0,-0.2,7.59,27.51
121,002265,建设工业,13.01,4.83,0.6,278471.0,359453555.89,6.29,13.35,12.57,12.65,12.41,2.04,6.91,52.8,4.11,13439855695.0,5244292295.0,-0.08,-0.08,4.83,-4.34
122,835985,海泰新能,6.96,4.82,0.32,118967.0,82627512.38,8.28,7.17,6.62,6.71,6.64,1.64,8.85,21.01,1.71,2153954352.0,935904790.0,0.0,0.14,24.29,-13.86
123,873576,天力复合,24.33,4.78,1.11,26966.0,64178751.25,6.68,24.55,23.0,23.5,23.22,1.05,9.04,28.11,5.79,2650753500.0,725453693.0,-0.04,-0.37,99.43,80.49
124,832876,慧为智能,16.01,4.71,0.72,66267.0,101452800.29,15.7,16.5,14.1,14.95,15.29,0.95,31.21,94.63,4.05,1027532351.0,339907622.0,0.0,-0.31,130.03,149.77
125,301152,天力锂能,32.42,4.68,1.45,78653.0,256390987.66,9.46,33.9,30.97,31.0,30.97,1.62,10.78,-26.44,1.69,3954666393.0,2366491643.0,-0.03,-0.06,0.68,-32.32
126,300654,世纪天鸿,14.31,4.68,0.64,623164.0,892191099.8,11.85,15.03,13.41,13.55,13.67,1.15,19.29,124.42,6.44,5206882478.0,4622791294.0,-0.28,-0.35,46.62,142.13
127,836149,旭杰科技,7.16,4.68,0.32,50238.0,36436342.31,6.58,7.45,7.0,7.0,6.84,1.23,10.49,63.71,2.98,528107280.0,342784578.0,0.28,0.14,81.73,83.59
128,834021,流金科技,6.27,4.67,0.28,633312.0,396385999.11,15.69,6.72,5.78,5.82,5.99,1.48,27.43,107.47,2.94,1937429893.0,1447730241.0,-0.63,0.48,127.17,111.82
129,301262,海看股份,35.54,4.65,1.58,93344.0,330121120.35,8.1,36.6,33.85,34.18,33.96,1.39,23.84,38.95,4.05,14820180000.0,1391539664.0,0.0,0.14,29.66,21.01
130,838030,德众汽车,4.52,4.63,0.2,127080.0,56446035.94,6.48,4.58,4.3,4.38,4.32,1.18,13.32,124.29,1.66,808355358.0,431148092.0,0.67,0.67,78.66,46.28
131,605117,德业股份,58.31,4.63,2.58,137152.0,806018540.0,7.88,61.23,56.84,56.84,55.73,2.49,9.38,11.99,4.86,25078013780.0,8526557012.0,0.02,-0.19,-26.33,-68.09
132,300949,奥雅股份,46.2,4.62,2.04,29726.0,134881140.0,7.63,46.76,43.39,43.75,44.16,1.48,17.48,-36.38,2.54,2772000000.0,785619450.0,-0.6,-0.73,20.72,51.03
