Date,AAPL,AMZN,JNJ,JPM,LLY,MSFT,NVDA,PG,UNH,XOM
2003-12-01,0.32862764596939087,2.7325000762939453,28.339574813842773,20.577516555786133,37.96776580810547,16.161544799804688,1.646014928817749,28.036518096923828,22.16602325439453,18.915050506591797
2003-12-02,0.32605409622192383,2.696500062942505,28.024688720703125,20.66408348083496,37.53567123413086,16.04895782470703,1.6391348838806152,28.004722595214844,22.275522232055664,18.972225189208984
2003-12-03,0.3183342516422272,2.575500011444092,28.144920349121094,20.658309936523438,37.25484085083008,16.05521011352539,1.622314214706421,27.970056533813477,22.105175018310547,18.993022918701172
2003-12-04,0.3201509118080139,2.5899999141693115,28.242250442504883,20.421716690063477,37.27104187011719,16.386701583862305,1.6139050722122192,27.964262008666992,21.975383758544922,19.242515563964844
2003-12-05,0.31560900807380676,2.578000068664551,28.144920349121094,20.17359161376953,37.157630920410156,16.249099731445312,1.5619175434112549,27.883386611938477,21.64278793334961,19.11776351928711
2003-12-08,0.31863686442375183,2.553999900817871,28.539953231811523,20.462114334106445,37.821922302246094,16.411718368530273,1.5733853578567505,27.981611251831055,21.80503273010254,19.440034866333008
2003-12-09,0.309554785490036,2.4670000076293945,28.63154411315918,20.09857749938965,38.10277557373047,16.499282836914062,1.4915813207626343,27.900707244873047,21.659015655517578,19.564781188964844
2003-12-10,0.30849534273147583,2.4600000381469727,28.76895523071289,20.006242752075195,38.02174377441406,16.630624771118164,1.5244563817977905,27.990280151367188,21.590057373046875,19.642749786376953
2003-12-11,0.3210586607456207,2.5399999618530273,28.625822067260742,20.18513298034668,38.77786636352539,16.64313316345215,1.6016725301742554,27.736026763916016,21.80097770690918,19.705127716064453
2003-12-12,0.3162151277065277,2.549499988555908,28.276586532592773,20.248598098754883,38.9885139465332,16.668149948120117,1.5932633876800537,27.97294044494629,22.09300994873047,19.78309440612793
2003-12-15,0.3053165078163147,2.5204999446868896,28.316659927368164,20.346702575683594,38.71845626831055,16.724445343017578,1.5611538887023926,28.261857986450195,22.097063064575195,19.64794158935547
2003-12-16,0.30455946922302246,2.4749999046325684,28.29376983642578,20.61215591430664,39.58259201049805,16.924577713012695,1.5825598239898682,28.501665115356445,22.255239486694336,19.996198654174805
2003-12-17,0.3009263277053833,2.378999948501587,28.253686904907227,20.577516555786133,39.14512252807617,16.912065505981445,1.5519789457321167,28.42366600036621,22.68113136291504,20.209314346313477
2003-12-18,0.3033480942249298,2.4375,28.608646392822266,20.571754455566406,39.49077606201172,17.13722801208496,1.5871468782424927,28.692338943481445,22.831193923950195,20.484806060791016
2003-12-19,0.29820191860198975,2.4619998931884766,28.683086395263672,20.646764755249023,39.90663528442383,17.112220764160156,1.6108464002609253,28.17518424987793,22.733850479125977,20.583559036254883
2003-12-22,0.3004719913005829,2.494499921798706,28.900630950927734,20.8314151763916,38.99391555786133,16.999643325805664,1.6131399869918823,28.357215881347656,22.883922576904297,20.515995025634766
2003-12-23,0.299866646528244,2.624000072479248,28.940710067749023,20.87181282043457,38.08657455444336,16.980873107910156,1.6788893938064575,28.452547073364258,22.7216854095459,20.661535263061523
2003-12-24,0.30894869565963745,2.6659998893737793,29.043771743774414,20.84873390197754,38.07576370239258,16.912065505981445,1.6666573286056519,28.41210174560547,22.79874610900879,20.7031192779541
2003-12-26,0.31454941630363464,2.6735000610351562,28.980785369873047,20.90067481994629,38.140586853027344,17.018400192260742,1.7385220527648926,28.383207321166992,22.916366577148438,20.81747055053711
2003-12-29,0.3201509118080139,2.6735000610351562,29.341474533081055,21.07954216003418,38.6806526184082,17.174762725830078,1.8119163513183594,28.66056251525879,23.56532859802246,21.09295654296875
2003-12-30,0.32211819291114807,2.6414999961853027,29.410171508789062,21.11994171142578,38.3079948425293,17.21228790283203,1.8157387971878052,28.796369552612305,23.44770050048828,21.144929885864258
2003-12-31,0.32348063588142395,2.63100004196167,29.576217651367188,21.19495964050293,37.983951568603516,17.118473052978516,1.7736899852752686,28.857023239135742,23.5977783203125,21.311264038085938
2004-01-02,0.32211819291114807,2.5950000286102295,29.576217651367188,21.32892417907715,38.475433349609375,17.168502807617188,1.7645155191421509,28.599903106689453,23.946596145629883,21.11894416809082
2004-01-05,0.3355904221534729,2.6635000705718994,29.747961044311523,21.28815460205078,37.90835189819336,17.60006332397461,1.8218544721603394,28.741464614868164,22.79469108581543,21.612749099731445
2004-01-06,0.3343791365623474,2.6514999866485596,29.616289138793945,21.823997497558594,37.87593460083008,17.66261100769043,1.8960133790969849,28.597003936767578,23.029937744140625,21.467208862304688
2004-01-07,0.3419480323791504,2.5950000286102295,29.627727508544922,22.144336700439453,37.7085075378418,17.643840789794922,1.9128336906433105,28.34276580810547,23.244909286499023,21.311264038085938
2004-01-08,0.3536036014556885,2.51200008392334,29.765140533447266,22.52292251586914,36.779571533203125,17.612581253051758,1.9197137355804443,28.64034652709961,23.293577194213867,21.259296417236328
2004-01-09,0.3481539189815521,2.5794999599456787,29.427356719970703,22.575347900390625,36.498722076416016,17.299854278564453,1.9472365379333496,28.787687301635742,23.082672119140625,20.94221305847168
2004-01-12,0.35920435190200806,2.6475000381469727,29.994152069091797,22.59281349182129,37.173828125,17.243555068969727,1.9694080352783203,28.96392822265625,22.99749183654785,21.238496780395508
2004-01-13,0.36510753631591797,2.745500087738037,29.91399574279785,22.65688705444336,37.04961395263672,17.155996322631836,1.86772620677948,28.805025100708008,22.92042350769043,21.144929885864258
2004-01-14,0.36631888151168823,2.7899999618530273,29.770862579345703,22.84326171875,37.3736572265625,17.324867248535156,1.8539642095565796,28.900371551513672,23.51665687561035,21.144929885864258
2004-01-15,0.34588387608528137,2.809000015258789,29.67925262451172,22.668529510498047,37.54108428955078,17.224794387817383,1.8570237159729004,28.750133514404297,23.646446228027344,20.937026977539062
2004-01-16,0.34391555190086365,2.7860000133514404,28.883466720581055,22.87238883972168,37.83811950683594,17.393665313720703,1.8853100538253784,28.6027889251709,23.792463302612305,21.051372528076172
2004-01-20,0.3440672755241394,2.8304998874664307,29.484586715698242,22.767547607421875,37.670711517333984,17.575050354003906,1.9380617141723633,28.507434844970703,23.755964279174805,21.248889923095703
2004-01-21,0.3422507643699646,2.809999942779541,30.09147071838379,23.355812072753906,38.2377815246582,17.70013427734375,1.8486137390136719,28.778839111328125,23.70323944091797,21.534778594970703
