Date,AAPL,AMZN,JNJ,JPM,LLY,MSFT,NVDA,PG,UNH,XOM
2018-11-14,46.70000076293945,79.95050048828125,144.25,107.33000183105469,109.80999755859375,104.97000122070312,49.29750061035156,93.48999786376953,264.9599914550781,77.38999938964844
2018-11-15,47.852500915527344,80.97200012207031,144.5,110.06999969482422,112.19999694824219,107.27999877929688,50.59749984741211,93.83000183105469,264.94000244140625,78.19000244140625
2018-11-16,48.38249969482422,79.67050170898438,145.99000549316406,109.98999786376953,113.83000183105469,108.29000091552734,41.10749816894531,93.81999969482422,271.1099853515625,78.95999908447266
2018-11-19,46.46500015258789,75.614501953125,147.72999572753906,110.83000183105469,115.80999755859375,104.62000274658203,36.17499923706055,93.29000091552734,266.04998779296875,79.22000122070312
2018-11-20,44.244998931884766,74.77300262451172,146.4499969482422,108.44999694824219,114.72000122070312,101.70999908447266,37.27000045776367,92.0999984741211,261.5,76.97000122070312
2018-11-21,44.19499969482422,75.83650207519531,141.99000549316406,107.63999938964844,112.2300033569336,103.11000061035156,36.1775016784668,91.41000366210938,260.54998779296875,77.55999755859375
2018-11-23,43.0724983215332,75.10299682617188,142.22999572753906,106.6500015258789,112.87000274658203,103.06999969482422,36.25,91.54000091552734,261.6199951171875,75.48999786376953
2018-11-26,43.654998779296875,79.06649780273438,141.3699951171875,109.26000213623047,112.37999725341797,106.47000122070312,38.26250076293945,91.94000244140625,266.1600036621094,76.9800033569336
2018-11-27,43.560001373291016,79.07099914550781,143.22000122070312,109.72000122070312,114.22000122070312,107.13999938964844,38.432498931884766,92.72000122070312,271.1499938964844,77.05000305175781
2018-11-28,45.23500061035156,83.88749694824219,146.44000244140625,110.94000244140625,115.52999877929688,111.12000274658203,40.01750183105469,93.01000213623047,280.95001220703125,78.44999694824219
2018-11-29,44.88750076293945,83.67849731445312,145.85000610351562,110.05999755859375,117.0,110.19000244140625,39.34000015258789,92.81999969482422,282.54998779296875,79.05999755859375
2018-11-30,44.64500045776367,84.50849914550781,146.89999389648438,111.19000244140625,118.63999938964844,110.88999938964844,40.85749816894531,94.51000213623047,281.3599853515625,79.5
2018-12-03,46.20500183105469,88.61799621582031,146.2100067138672,112.23999786376953,118.5199966430664,112.08999633789062,42.5099983215332,93.31999969482422,286.3299865722656,81.22000122070312
2018-12-04,44.17250061035156,83.41999816894531,146.02999877929688,107.2300033569336,116.5199966430664,108.5199966430664,39.27750015258789,93.30999755859375,278.54998779296875,79.43000030517578
2018-12-06,43.68000030517578,84.95950317382812,145.91000366210938,105.19000244140625,115.83999633789062,109.19000244140625,39.5724983215332,93.55000305175781,276.8500061035156,78.38999938964844
2018-12-07,42.122501373291016,81.45649719238281,145.42999267578125,103.29000091552734,113.58000183105469,104.81999969482422,36.90250015258789,92.44999694824219,269.17999267578125,77.63999938964844
2018-12-10,42.400001525878906,82.05149841308594,145.25999450683594,101.36000061035156,114.08999633789062,107.58999633789062,37.96500015258789,93.02999877929688,266.5299987792969,76.54000091552734
2018-12-11,42.157501220703125,82.16200256347656,146.5,100.37000274658203,114.5,108.58999633789062,37.04750061035156,93.91000366210938,267.2200012207031,76.68000030517578
2018-12-12,42.275001525878906,83.177001953125,147.10000610351562,101.0199966430664,114.33999633789062,109.08000183105469,37.224998474121094,94.02999877929688,270.6400146484375,76.0199966430664
2018-12-13,42.73749923706055,82.91899871826172,147.83999633789062,101.12000274658203,114.86000061035156,109.44999694824219,37.22249984741211,96.48999786376953,272.1499938964844,76.9800033569336
2018-12-14,41.369998931884766,79.59549713134766,133.0,100.29000091552734,111.93000030517578,106.02999877929688,36.61249923706055,96.63999938964844,265.0199890136719,75.58000183105469
